/Users/mluser/Desktop/projects/englist_2_telugu/.venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:684: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, then device pinned memory won't be used.
  warnings.warn(warn_msg)
Using device:  mps
Batch: 100, Global Step: 0, Loss: 7.8007, Time: 42.46973395347595
Batch: 200, Global Step: 0, Loss: 7.3971, Time: 80.00344395637512
Batch: 300, Global Step: 0, Loss: 6.4508, Time: 118.03506398200989
Batch: 400, Global Step: 0, Loss: 7.4795, Time: 156.61175203323364
Batch: 500, Global Step: 0, Loss: 6.7266, Time: 194.14562487602234
Batch: 600, Global Step: 0, Loss: 6.4633, Time: 231.74513006210327
Batch: 700, Global Step: 0, Loss: 6.5177, Time: 269.72948384284973
Batch: 800, Global Step: 0, Loss: 5.5011, Time: 307.3838701248169
Batch: 900, Global Step: 0, Loss: 6.6758, Time: 346.53984808921814
Batch: 1000, Global Step: 0, Loss: 6.2391, Time: 385.4832589626312
Batch: 1100, Global Step: 0, Loss: 5.9275, Time: 424.44509506225586
Batch: 1200, Global Step: 0, Loss: 5.7033, Time: 463.44745683670044
Batch: 1300, Global Step: 0, Loss: 5.6304, Time: 502.30719900131226
Batch: 1400, Global Step: 0, Loss: 5.3915, Time: 541.279904127121
Batch: 1500, Global Step: 0, Loss: 4.7310, Time: 580.3981039524078
Batch: 1600, Global Step: 0, Loss: 4.6901, Time: 619.0347788333893
Batch: 1700, Global Step: 0, Loss: 4.6510, Time: 657.7834599018097
Batch: 1800, Global Step: 0, Loss: 4.5353, Time: 696.5498068332672
Batch: 1900, Global Step: 0, Loss: 4.6946, Time: 735.1732459068298
Batch: 2000, Global Step: 0, Loss: 4.4526, Time: 773.9453709125519
Batch: 2100, Global Step: 0, Loss: 5.5149, Time: 812.6436591148376
Batch: 2200, Global Step: 0, Loss: 4.5872, Time: 851.9733011722565
Batch: 2300, Global Step: 0, Loss: 4.2824, Time: 889.2417318820953
Batch: 2400, Global Step: 0, Loss: 3.6673, Time: 927.696692943573
Batch: 2500, Global Step: 0, Loss: 3.7649, Time: 966.8524758815765
Batch: 2600, Global Step: 0, Loss: 4.6261, Time: 1006.4200410842896
Batch: 2700, Global Step: 0, Loss: 3.8077, Time: 1045.3292129039764
Batch: 2800, Global Step: 0, Loss: 3.4262, Time: 1082.7320311069489
Batch: 2900, Global Step: 0, Loss: 3.7605, Time: 1119.981143951416
Batch: 3000, Global Step: 0, Loss: 2.5047, Time: 1157.2762608528137
Batch: 3100, Global Step: 0, Loss: 3.1630, Time: 1194.5484359264374
Batch: 3200, Global Step: 0, Loss: 3.4687, Time: 1231.9204161167145
Batch: 3300, Global Step: 0, Loss: 3.8065, Time: 1269.132411956787
Batch: 3400, Global Step: 0, Loss: 3.0600, Time: 1306.3629400730133
Batch: 3500, Global Step: 0, Loss: 3.0337, Time: 1344.3409130573273
Batch: 3600, Global Step: 0, Loss: 3.0225, Time: 1382.8606758117676
Batch: 3700, Global Step: 0, Loss: 3.6491, Time: 1421.7368190288544
Batch: 3800, Global Step: 0, Loss: 3.5753, Time: 1460.3593800067902
Batch: 3900, Global Step: 0, Loss: 3.4601, Time: 1498.845673084259
Batch: 4000, Global Step: 0, Loss: 2.7298, Time: 1537.6762700080872
Batch: 4100, Global Step: 0, Loss: 2.4390, Time: 1577.5283160209656
Batch: 4200, Global Step: 0, Loss: 2.4460, Time: 1615.9085059165955
Batch: 4300, Global Step: 0, Loss: 2.8733, Time: 1654.0555458068848
Batch: 4400, Global Step: 0, Loss: 2.4522, Time: 1691.3076939582825
Batch: 4500, Global Step: 0, Loss: 3.2782, Time: 1728.7773859500885
